Author,Title,ISBN-10,ISBN-13,OL_key,OL_title,OL_library,OL_ID
Robert A. Heinlein,The Puppet Masters,,9780795330988,OL59729W,The Puppet Masters,Robert A. Heinlein,cb311be3-cef9-43d8-ad3f-7e12d298f21a
Robert A. Heinlein,Friday,034530988X,,OL59706W,Friday,Robert A. Heinlein,3d5d305f-1bf0-4658-9f72-a942f4f53f54
Pierre Boulle,Planet of the Apes (aka Monkey Planet),,,OL1319418W,,,
Philip K. Dick,VALIS,553141562,9780553141566,OL2172524W,VALIS,Philip K. Dick,15a03484-81ac-406c-843c-67056ee9a6bc
Samuel R. Delany,Babel-17,375706690,,OL56834W,Babel-17,Samuel R. Delany,8c3b07a7-dd6e-47a2-b7d3-3633054b5dd1
P.D. James,The Children of Men,3502518270,9783502518273,OL510890W,The Children of Men,P.D. James,a416eed0-a870-4382-8c8d-e1260a4acf3f
Theodore Sturgeon,More Than Human,824014383,,OL14868317W,More Than Human,Theodore Sturgeon,5ddb9709-bca6-4584-aa08-2cf5533e5717
John Brunner,Stand on Zanzibar,1857988361,9781857988369,OL3521966W,Stand on Zanzibar,John Brunner,8b743b94-9618-4693-a39b-a8f80b066dd3
Arthur Conan Doyle,The Lost World,,9789963475292,OL262460W,The Lost World,Arthur Conan Doyle,1019b9fe-9725-4fd5-9365-10ce3e6f7f3e
Anne McCaffrey,The Ship Who Sang,345334310,9780345334312,OL73367W,The Ship Who Sang,Anne McCaffrey,9651a74e-79d7-4460-8b72-ade92407f3b7
Lois McMaster Bujold,Memory,671877437,,OL56889W,Memory,Lois McMaster Bujold,d8dfdf1e-240f-4ab2-bdfd-e49ce6277357
John Wyndham,The Midwich Cuckoos,899683878,9780899683874,OL1911335W,The Midwich Cuckoos,John Wyndham,542f8876-e0f6-4c44-8a47-0d4423d7ecce
Robert A. Heinlein,Double Star,451126955,,OL59715W,Double Star,Robert A. Heinlein,302525cc-a0c0-499a-bd6b-f71b43e32c39
William Gibson & Bruce Sterling,The Difference Engine,553070282,,OL27252W,The Difference Engine,"William Gibson, Bruce Sterling",323648ff-7a6b-41ea-b309-1e9dea2ed9e2
C.J. Cherryh,Downbelow Station,886774314,9780886774318,OL60590W,Downbelow Station,C.J. Cherryh,af5a73d0-4856-44fc-aaf3-0b10f9f353e9
David Brin,The Uplift War,055325121X,9780553251210,OL58713W,The Uplift War,David Brin,afbd92d1-71b6-42a6-a399-6d173623f0dd
Clifford D. Simak,City,9505470282,9789505470280,OL4088358W,City,Clifford D. Simak,1b6f1ae4-d392-4526-8137-2bf931b273bb
William Gibson,Virtual Light,553074997,,OL27257W,Virtual Light,William Gibson,4fc2479f-69a2-4ab9-9b71-8300759a19cc
George R. Stewart,Earth Abides,,9780345487131,OL2321336W,Earth Abides,George R. Stewart,8ea4aa3a-5c15-49e6-b7f1-e88deff926c8
Pat Frank,"Alas, Babylon",,9780063455184,OL42437341W,"Alas, Babylon",Pat Frank,494e519c-1318-41d9-bf83-8d5db6f96213
Greg Bear,Darwin's Radio,345459814,,OL16508W,Darwin's Radio,Greg Bear,43c752c9-0b5d-419f-ba49-a47a4dac1ff9
Samuel R. Delany,Dhalgren,375706682,,OL56835W,Dhalgren,Samuel R. Delany,93d962a9-c4e8-4f60-aec6-2eb385d0d7c5
